,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3555511,2021-05-23 22:45:00,Liga Pro,Artem Tsitselskii,Yurii Merkushin,Yurii Merkushin,3.0,Yurii Merkushin,1-3,3.0,1
3555520,2021-05-23 22:15:00,Liga Pro,Anton Gerasimov,Igor Mihaylov,Anton Gerasimov,3.4,Igor Mihaylov,1-3,0.0,1
3555882,2021-05-24 14:25:00,Setka Cup,Timur Voitekhov,Oleksandr Dukhovenko,Oleksandr Dukhovenko,3.4,Oleksandr Dukhovenko,0-3,3.4,1
3555930,2021-05-24 14:50:00,Setka Cup,Valerii Hries,Volodymyr Melnykov,Valerii Hries,3.75,Volodymyr Melnykov,2-3,0.0,1
3555957,2021-05-24 12:30:00,Setka Cup Women,Kateryna Hubska,Anastasiia Dudnyk,Kateryna Hubska,4.333,Anastasiia Dudnyk,1-3,0.0,1
3555959,2021-05-24 13:30:00,Setka Cup Women,Nataliia Svydnytska,Anastasiia Dudnyk,Nataliia Svydnytska,3.25,Anastasiia Dudnyk,2-3,0.0,1
3556043,2021-05-24 09:30:00,Liga Pro,Alexey Kazakov,Anton Mohnachev,Anton Mohnachev,4.5,Alexey Kazakov,3-0,0.0,1
3556078,2021-05-24 10:45:00,Liga Pro,Roman Kobytov,Egor Mishutin,Roman Kobytov,3.25,Roman Kobytov,3-1,3.25,1
3556086,2021-05-24 10:30:00,Setka Cup,Bohdan Pyrtyk,Mykhailo Hlaholev,Bohdan Pyrtyk,4.333,Mykhailo Hlaholev,0-3,0.0,1
3556175,2021-05-24 12:50:00,Setka Cup,Serhii Hot,Ihor Kvak,Serhii Hot,4.5,Ihor Kvak,2-3,0.0,1
3556179,2021-05-24 14:50:00,Setka Cup,Serhii Hot,Volodymyr Hera,Serhii Hot,5.0,Volodymyr Hera,0-3,0.0,1
3556182,2021-05-24 16:20:00,Setka Cup,Serhii Hot,Andrii Berdii,Serhii Hot,3.25,Andrii Berdii,2-3,0.0,1
3556184,2021-05-24 17:20:00,Setka Cup,Serhii Hot,Mykola Serediuk,Serhii Hot,4.333,Mykola Serediuk,2-3,0.0,1
3556186,2021-05-24 18:20:00,Setka Cup,Serhii Ponomarov,Serhii Hot,Serhii Hot,4.333,Serhii Ponomarov,3-0,0.0,1
3556247,2021-05-24 11:30:00,Setka Cup,Robert Jamrich,Ondrej Malecek,Ondrej Malecek,3.75,Robert Jamrich,3-0,0.0,1
3556447,2021-05-23 20:15:00,Liga Pro,Mihail Andrusenko,Vladimir Marshalov,Vladimir Marshalov,3.0,Vladimir Marshalov,1-3,3.0,1
