,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3399589,2021-04-04 10:25:00,TT Cup Ukraine,Mykhailo Marchuk,Maksym Skhabovskyi,Mykhailo Marchuk,5.0,Maksym Skhabovskyi,2-3,0.0,1
3399632,2021-04-04 05:40:00,Setka Cup,Vadim Kazmirchuk,Valeriy Kolesnykov,Valeriy Kolesnykov,3.4,Valeriy Kolesnykov,2-3,3.4,1
3399680,2021-04-04 05:40:00,TT-Cup Ukraine Women,Tatiana Bairak,Yulija Rechytska,Yulija Rechytska,5.0,Tatiana Bairak,3-2,0.0,1
3399703,2021-04-04 09:45:00,TT-Cup Ukraine Women,Tatiana Bairak,Alina Shkarban,Tatiana Bairak,5.0,Tatiana Bairak,3-1,5.0,1
3399735,2021-04-04 09:00:00,TT Cup Ukraine,Borys Buriak,Oleg Obidnyi,Oleg Obidnyi,3.5,Oleg Obidnyi,1-3,3.5,1
3399830,2021-04-04 06:45:00,Setka Cup Women,Yuliia Khilinska,Nataliia Konovalova,Yuliia Khilinska,3.25,Nataliia Konovalova,2-3,0.0,1
3399856,2021-04-04 05:50:00,Setka Cup,Ivan Fedoryshyn,Yurii Kurishchenko,Ivan Fedoryshyn,3.4,Yurii Kurishchenko,1-3,0.0,1
3399891,2021-04-04 17:50:00,Setka Cup,Valery Vlasenko,Rodion Kapinus,Rodion Kapinus,3.4,Valery Vlasenko,3-1,0.0,1
3400095,2021-04-04 18:45:00,Liga Pro,Evgeniy Ilyukhin,Petr Zyuzikov,Evgeniy Ilyukhin,3.0,Petr Zyuzikov,1-3,0.0,1
3400187,2021-04-04 16:00:00,Czech Liga Pro,Lukas Boruvka,Roland Balog,Roland Balog,2.75,Roland Balog,2-3,2.75,1
3400211,2021-04-04 20:30:00,Czech Liga Pro,Pavel Gireth,Martin Bittner,Martin Bittner,4.333,Pavel Gireth,3-2,0.0,1
3400432,2021-04-04 12:35:00,Setka Cup Women,Marharyta Saltanovska,Olena Petlenko,Olena Petlenko,3.25,Marharyta Saltanovska,3-1,0.0,1
3400434,2021-04-04 14:35:00,Setka Cup Women,Marharyta Saltanovska,Lilia Andreeva,Lilia Andreeva,3.0,Marharyta Saltanovska,3-0,0.0,1
3400510,2021-04-04 15:05:00,Setka Cup Women,Oksana Kolosovska,Olena Petlenko,Olena Petlenko,3.75,Olena Petlenko,1-3,3.75,1
3401089,2021-04-04 23:45:00,Liga Pro,Denis Molodtsov,Vasily Shirshov,Vasily Shirshov,2.625,Vasily Shirshov,0-3,2.625,1
3401275,2021-04-04 13:15:00,TT Cup Ukraine,Andrey Troyan,Andrii Kurtenko,Andrey Troyan,3.75,Andrii Kurtenko,0-3,0.0,1
3401394,2021-04-04 18:15:00,TT Cup Ukraine,Oleksii Tiutiunnyk,Maksym Zhuravlov,Maksym Zhuravlov,3.4,Maksym Zhuravlov,2-3,3.4,1
3401745,2021-04-05 11:30:00,Czech Liga Pro,Matous Klimenta,Jan Kanera,Jan Kanera,3.4,Matous Klimenta,3-1,0.0,1
3401752,2021-04-05 11:00:00,Czech Liga Pro,Jan Svoboda,Jaroslav Havlik,Jan Svoboda,4.5,Jaroslav Havlik,1-3,0.0,1
3401803,2021-04-05 04:45:00,Liga Pro,Roman Alov,Vladimir Nemashkalo,Roman Alov,3.25,Vladimir Nemashkalo,0-3,0.0,1
3401806,2021-04-05 05:45:00,Liga Pro,Sergei Simonov,Dmitriy Kolesnikov,Sergei Simonov,2.25,Sergei Simonov,3-2,2.25,1
3401957,2021-04-04 21:00:00,TT Cup Ukraine,Andrii Zeniuk,Liubomyr Sheshurak,Andrii Zeniuk,2.2,Andrii Zeniuk,3-2,2.2,1
3402003,2021-04-05 07:55:00,Setka Cup,Andrii Hrytsai,Yevhen Bielokon,Yevhen Bielokon,3.75,Andrii Hrytsai,3-2,0.0,1
3402008,2021-04-05 12:25:00,Setka Cup,Serhii Kuprykov,Yevhen Bielokon,Yevhen Bielokon,2.2,Serhii Kuprykov,3-2,0.0,1
3402084,2021-04-05 12:40:00,Setka Cup,Bohdan Havryliuk,Yevhen Skorobahatyi,Bohdan Havryliuk,4.0,Yevhen Skorobahatyi,1-3,0.0,1
3402090,2021-04-05 14:10:00,Setka Cup,Bohdan Havryliuk,Igor Koshkodan,Igor Koshkodan,5.0,Bohdan Havryliuk,3-0,0.0,1
3402096,2021-04-05 16:10:00,Setka Cup,Andrii Melchenko,Igor Koshkodan,Igor Koshkodan,3.75,Andrii Melchenko,3-2,0.0,1
3402098,2021-04-05 12:30:00,Setka Cup,Volodymyr Kononikhin,Vitalii Vasko,Volodymyr Kononikhin,2.75,Vitalii Vasko,2-3,0.0,1
3402109,2021-04-05 16:40:00,Setka Cup,Vasily Kondratenko,Yevhen Skorobahatyi,Vasily Kondratenko,2.625,Yevhen Skorobahatyi,0-3,0.0,1
3402118,2021-04-05 14:40:00,Setka Cup,Andrii Melchenko,Vasily Kondratenko,Vasily Kondratenko,4.0,Andrii Melchenko,3-0,0.0,1
3402119,2021-04-05 15:10:00,Setka Cup,Igor Koshkodan,Yevhen Skorobahatyi,Igor Koshkodan,2.625,Yevhen Skorobahatyi,0-3,0.0,1
3402151,2021-04-05 15:25:00,Setka Cup,Serhii Pitsyk,Serhii Sokolov,Serhii Pitsyk,5.0,Serhii Sokolov,0-3,0.0,1
3402170,2021-04-05 17:50:00,Setka Cup,Oleksandr Ivchuk,Yurii Kolos,Oleksandr Ivchuk,4.0,Oleksandr Ivchuk,3-1,4.0,1
3402171,2021-04-05 18:50:00,Setka Cup,Ivan Udovenko,Yurii Kolos,Ivan Udovenko,3.25,Ivan Udovenko,3-1,3.25,1
3402211,2021-04-05 08:15:00,TT Star Series,David Prusa,Jakub Seibert,David Prusa,3.25,Jakub Seibert,1-3,0.0,1
3402284,2021-04-05 06:40:00,TT Cup Ukraine,Maksym Kolos,Oleksandr Semenets,Oleksandr Semenets,4.0,Maksym Kolos,3-0,0.0,1
3402563,2021-04-06 01:00:00,Liga Pro,Denis Sayanov,Viktor Kalachev,Viktor Kalachev,2.25,Denis Sayanov,3-2,0.0,1
3402585,2021-04-05 10:30:00,Challenger Ochsenhausen,Francisco Sanchi,Josip Huzjak,Francisco Sanchi,3.75,Francisco Sanchi,3-2,3.75,1
3402612,2021-04-06 01:15:00,Liga Pro,Vasily Shirshov,Evgeniy Ilyukhin,Vasily Shirshov,5.5,Evgeniy Ilyukhin,0-3,0.0,1
3402650,2021-04-05 21:45:00,Liga Pro,Vladimir Safonov,Aleksandr Volkov,Vladimir Safonov,3.5,Vladimir Safonov,3-1,3.5,1
3402857,2021-04-05 13:30:00,Liga Pro,Vladimir Zubkov,Evgeny Anisimov,Evgeny Anisimov,2.0,Evgeny Anisimov,1-3,2.0,1
3402876,2021-04-05 19:15:00,Liga Pro,Ivan Moshkov,Dmitri Razinkov,Ivan Moshkov,3.75,Ivan Moshkov,3-2,3.75,1
3403375,2021-04-06 08:20:00,Challenger Ochsenhausen,Francisco Sanchi,Florian Bluhm,Francisco Sanchi,5.0,Florian Bluhm,1-3,0.0,1
3403587,2021-04-05 12:55:00,TT Cup Ukraine,Serhii Kubrak,Oleksandr Zhuravlov,Oleksandr Zhuravlov,3.75,Oleksandr Zhuravlov,1-3,3.75,1
3403589,2021-04-05 15:50:00,TT Cup Ukraine,Vladyslav Volokhov,Oleksandr Zhuravlov,Vladyslav Volokhov,3.75,Oleksandr Zhuravlov,1-3,0.0,1
3403596,2021-04-05 14:40:00,TT Cup Ukraine,Serhii Kubrak,Vladyslav Volokhov,Vladyslav Volokhov,4.333,Serhii Kubrak,3-0,0.0,1
3403638,2021-04-05 16:15:00,TT Cup Ukraine,Andrey Tsikhotskiy,Bogdan Stasiuk,Bogdan Stasiuk,2.625,Andrey Tsikhotskiy,3-2,0.0,1
3403640,2021-04-05 18:35:00,TT Cup Ukraine,Aleksandr Kuharchuk,Bogdan Stasiuk,Bogdan Stasiuk,2.5,Aleksandr Kuharchuk,3-1,0.0,1
3403641,2021-04-05 14:30:00,TT Cup Ukraine,Mykola Tovkach,Bogdan Stasiuk,Bogdan Stasiuk,4.5,Bogdan Stasiuk,2-3,4.5,1
3403643,2021-04-05 13:20:00,TT Cup Ukraine,Volodymyr Tuchkevych,Bogdan Stasiuk,Bogdan Stasiuk,2.5,Volodymyr Tuchkevych,3-0,0.0,1
3403946,2021-04-05 14:15:00,TT Cup Ukraine,Alexander Tkachenko,David Simonchuk,David Simonchuk,2.25,David Simonchuk,1-3,2.25,1
3404063,2021-04-05 17:40:00,TT Cup Ukraine,Oleksii Tiutiunnyk,Maksym Zhuravlov,Maksym Zhuravlov,3.0,Maksym Zhuravlov,1-3,3.0,1
3404157,2021-04-05 21:35:00,TT Cup Ukraine,Ivan Fashchevskyi,Vitaliy Solovey,Vitaliy Solovey,4.5,Vitaliy Solovey,1-3,4.5,1
3404163,2021-04-05 22:35:00,TT Cup Ukraine,Stepan Nykyforuk,Vitaliy Solovey,Vitaliy Solovey,3.5,Stepan Nykyforuk,3-0,0.0,1
3404180,2021-04-06 02:25:00,Setka Cup,Maksym Tytskyi,Aleksandr Sulim,Maksym Tytskyi,2.0,Aleksandr Sulim,1-3,0.0,1
3404187,2021-04-06 01:25:00,Setka Cup,Maksym Tytskyi,Borys Kostiuk,Maksym Tytskyi,3.75,Borys Kostiuk,0-3,0.0,1
3404191,2021-04-06 03:55:00,Setka Cup,Andrii Shcherbak,Borys Kostiuk,Andrii Shcherbak,2.625,Borys Kostiuk,0-3,0.0,1
3404257,2021-04-06 00:30:00,Liga Pro,Konstantin Churin,Denis Sayanov,Konstantin Churin,2.625,Denis Sayanov,2-3,0.0,1
3404269,2021-04-05 22:30:00,TT Cup Ukraine,Vitaliy Zharskiy,Yaroslav Vorsuliak,Yaroslav Vorsuliak,5.0,Vitaliy Zharskiy,3-1,0.0,1
3404275,2021-04-06 00:30:00,TT Cup Ukraine,Nazarii Haievyi,Vitaliy Zharskiy,Vitaliy Zharskiy,2.5,Vitaliy Zharskiy,0-3,2.5,1
3404437,2021-04-06 07:00:00,Czech Liga Pro,Jan Knot,Rotislav Hasmanda,Rotislav Hasmanda,4.5,Jan Knot,3-1,0.0,1
3404438,2021-04-06 08:00:00,Czech Liga Pro,Jaroslav Prokupek,Rotislav Hasmanda,Jaroslav Prokupek,3.4,Jaroslav Prokupek,3-2,3.4,1
3404440,2021-04-06 11:00:00,Czech Liga Pro,Karel Brozhik,Jan Mecl Jr.,Karel Brozhik,4.5,Karel Brozhik,3-1,4.5,1
3404442,2021-04-06 14:00:00,Czech Liga Pro,Jan Zajicek,Martin Protiva,Martin Protiva,3.0,Jan Zajicek,3-1,0.0,1
3404714,2021-04-06 06:15:00,Setka Cup,Serhii Solomko,Vadym Semenenko,Vadym Semenenko,2.25,Serhii Solomko,3-2,0.0,1
3404727,2021-04-06 17:50:00,Setka Cup,Anatolii Nazarov,Artem Yurkov,Anatolii Nazarov,2.75,Artem Yurkov,1-3,0.0,1
3404790,2021-04-06 14:40:00,Setka Cup,Vadym Bochkovsky,Vladimir Voronenko,Vladimir Voronenko,3.25,Vladimir Voronenko,0-3,3.25,1
3404795,2021-04-06 15:40:00,Setka Cup,Oleksandr Ivashkin,Vladimir Voronenko,Vladimir Voronenko,3.75,Oleksandr Ivashkin,3-1,0.0,1
3404877,2021-04-05 20:20:00,Setka Cup,Yurii Kolos,Oleksandr Ivchuk,Oleksandr Ivchuk,2.625,Yurii Kolos,3-0,0.0,1
3404984,2021-04-06 11:00:00,Liga Pro,Maksim Ilichev,Ivan Afanasiev,Ivan Afanasiev,3.75,Maksim Ilichev,3-0,0.0,1
3405000,2021-04-06 20:30:00,Setka Cup,Tomas Beran,Petr Dvorak,Tomas Beran,2.625,Petr Dvorak,3-2,0.0,1
3405262,2021-04-06 05:10:00,Setka Cup,Yevhen Skorobahatyi,Bohdan Havryliuk,Bohdan Havryliuk,3.4,Bohdan Havryliuk,1-3,3.4,1
3405271,2021-04-06 08:10:00,Setka Cup,Yevhen Skorobahatyi,Vasily Kondratenko,Vasily Kondratenko,3.25,Yevhen Skorobahatyi,3-0,0.0,1
3405296,2021-04-06 06:10:00,TT Cup Ukraine,Evgeniy Voytenko,Viacheslav Sereda,Evgeniy Voytenko,2.2,Viacheslav Sereda,1-3,0.0,1
3405301,2021-04-06 09:05:00,TT Cup Ukraine,Anton Myrza,Evgeniy Voytenko,Anton Myrza,3.25,Evgeniy Voytenko,2-3,0.0,1
3405303,2021-04-06 10:15:00,TT Cup Ukraine,Anton Myrza,Yevhenii Omitsynskyi,Anton Myrza,2.25,Anton Myrza,3-2,2.25,1
3405305,2021-04-06 05:50:00,TT Cup Ukraine,Volodymyr Plishylo,Nazar Kovalchuk,Volodymyr Plishylo,2.75,Nazar Kovalchuk,2-3,0.0,1
3405329,2021-04-06 09:35:00,TT Cup Ukraine,Dmytro Kryshtal,Eduard Rubtsov,Dmytro Kryshtal,2.75,Dmytro Kryshtal,3-1,2.75,1
3405345,2021-04-06 04:55:00,TT Cup Ukraine,Eduard Rubtsov,Andrii Zaitsev,Andrii Zaitsev,1.833,Eduard Rubtsov,3-0,0.0,1
3405347,2021-04-06 06:40:00,TT Cup Ukraine,Eduard Rubtsov,Maksym Kolos,Maksym Kolos,2.25,Eduard Rubtsov,3-2,0.0,1
3405348,2021-04-06 08:25:00,TT Cup Ukraine,Dmytro Kryshtal,Maksym Kolos,Maksym Kolos,2.625,Maksym Kolos,0-3,2.625,1
3405349,2021-04-06 09:00:00,TT Cup Ukraine,Eduard Rubtsov,Ivan Kozyr,Ivan Kozyr,3.0,Ivan Kozyr,2-3,3.0,1
3405356,2021-04-06 06:20:00,TT Cup Ukraine,Aleksandr Kuharchuk,Bogdan Stasiuk,Bogdan Stasiuk,3.5,Aleksandr Kuharchuk,3-1,0.0,1
3405359,2021-04-06 08:05:00,TT Cup Ukraine,Andrey Tsikhotskiy,Bogdan Stasiuk,Bogdan Stasiuk,2.75,Andrey Tsikhotskiy,3-2,0.0,1
3405361,2021-04-06 09:50:00,TT Cup Ukraine,Sergey Gilitukha,Bogdan Stasiuk,Bogdan Stasiuk,2.625,Bogdan Stasiuk,1-3,2.625,1
3405362,2021-04-06 11:00:00,TT Cup Ukraine,Bogdan Stasiuk,Volodymyr Tuchkevych,Bogdan Stasiuk,3.25,Bogdan Stasiuk,3-1,3.25,1
3405363,2021-04-06 09:55:00,TT Cup Ukraine,Volodymyr Plishylo,Nazar Danilyuk,Volodymyr Plishylo,3.4,Nazar Danilyuk,0-3,0.0,1
3405495,2021-04-06 01:35:00,TT Cup Ukraine,Stepan Nykyforuk,Vitaliy Solovey,Vitaliy Solovey,4.333,Stepan Nykyforuk,3-0,0.0,1
3405501,2021-04-06 08:35:00,TT Cup Ukraine,Dmitriy Belanchik,Artem Nesterenko,Artem Nesterenko,4.0,Dmitriy Belanchik,3-1,0.0,1
3405599,2021-04-06 11:10:00,TT Cup Ukraine,Vadim Smetenko,Spartak Abalmaz,Spartak Abalmaz,2.75,Vadim Smetenko,3-1,0.0,1
3405636,2021-04-06 05:20:00,Setka Cup,Ihor Kvak,Yaroslav Tebenko,Yaroslav Tebenko,2.625,Yaroslav Tebenko,1-3,2.625,1
3405702,2021-04-06 01:00:00,TT Cup Ukraine,Sergey Maksimiv,Nazarii Haievyi,Sergey Maksimiv,3.25,Nazarii Haievyi,0-3,0.0,1
3405706,2021-04-06 03:30:00,TT Cup Ukraine,Vitaliy Zharskiy,Yaroslav Vorsuliak,Yaroslav Vorsuliak,6.0,Yaroslav Vorsuliak,1-3,6.0,1
3405876,2021-04-06 19:35:00,Setka Cup,Borys Kostiuk,Maksym Tytskyi,Maksym Tytskyi,3.75,Borys Kostiuk,3-0,0.0,1
3405907,2021-04-06 13:00:00,Liga Pro,Andrey Yakovlev,Kim Sen,Andrey Yakovlev,2.625,Kim Sen,2-3,0.0,1
3406719,2021-04-06 14:05:00,Setka Cup,Aleksandr Sulim,Maksym Tytskyi,Maksym Tytskyi,2.625,Maksym Tytskyi,1-3,2.625,1
3406724,2021-04-06 18:35:00,Setka Cup,Aleksandr Sulim,Maxim Marchuk,Maxim Marchuk,2.0,Aleksandr Sulim,3-1,0.0,1
3406738,2021-04-06 13:30:00,TT Cup Ukraine,Vladyslav Volokhov,Oleksandr Zhuravlov,Vladyslav Volokhov,3.75,Vladyslav Volokhov,3-1,3.75,1
3406740,2021-04-06 15:50:00,TT Cup Ukraine,Vladyslav Volokhov,Serhii Kubrak,Vladyslav Volokhov,4.333,Serhii Kubrak,2-3,0.0,1
3406988,2021-04-06 23:45:00,Liga Pro,Igor Mihaylov,Dmitry Evlakhin,Dmitry Evlakhin,4.333,Igor Mihaylov,3-1,0.0,1
3407065,2021-04-06 14:45:00,TT Cup Ukraine,Serhii Ponomarenko,Alexander Tkachenko,Serhii Ponomarenko,2.5,Alexander Tkachenko,1-3,0.0,1
3407068,2021-04-06 14:15:00,TT Cup Ukraine,David Simonchuk,Alexander Tkachenko,David Simonchuk,2.1,Alexander Tkachenko,2-3,0.0,1
3407121,2021-04-06 22:15:00,TT Cup Ukraine,Serhii Berezynskyi,Mykola Tovkach,Mykola Tovkach,3.75,Serhii Berezynskyi,3-2,0.0,1
3407151,2021-04-07 02:55:00,Setka Cup,Yevhenii Sokoltsov,Artem Lisechko,Yevhenii Sokoltsov,1.833,Artem Lisechko,2-3,0.0,1
3407183,2021-04-06 18:20:00,TT Cup Ukraine,Ivan Mai,Valeriy Melnik,Valeriy Melnik,2.25,Ivan Mai,3-0,0.0,1
3407407,2021-04-06 22:05:00,TT Cup Ukraine,Stepan Nykyforuk,Ivan Fashchevskyi,Ivan Fashchevskyi,3.0,Stepan Nykyforuk,3-1,0.0,1
3407423,2021-04-06 23:05:00,TT Cup Ukraine,Stepan Nykyforuk,Vitaliy Solovey,Vitaliy Solovey,4.5,Stepan Nykyforuk,3-2,0.0,1
3407570,2021-04-07 07:00:00,Liga Pro,Sergey Ovechkin,Gennady Karpovkin,Sergey Ovechkin,4.333,Gennady Karpovkin,0-3,0.0,1
3407853,2021-04-07 06:15:00,Setka Cup,Konstiantyn Tsoi,Sergey Yatsenko,Sergey Yatsenko,3.75,Sergey Yatsenko,1-3,3.75,1
3407860,2021-04-07 06:45:00,Setka Cup,Oleh Yurenev,Oleg Pereguda,Oleh Yurenev,3.5,Oleh Yurenev,3-1,3.5,1
3407873,2021-04-07 05:15:00,Setka Cup,Oleh Yurenev,Sergey Yatsenko,Oleh Yurenev,3.75,Sergey Yatsenko,0-3,0.0,1
3407939,2021-04-07 13:40:00,Setka Cup Women,Nataliia Svydnytska,Alisa Dubrova,Nataliia Svydnytska,3.4,Alisa Dubrova,1-3,0.0,1
3407959,2021-04-07 16:10:00,Setka Cup Women,Nataliia Svydnytska,Kateryna Hubska,Nataliia Svydnytska,3.0,Nataliia Svydnytska,3-1,3.0,1
3408122,2021-04-06 20:20:00,Setka Cup,Artem Yurkov,Anatolii Nazarov,Anatolii Nazarov,3.75,Artem Yurkov,3-1,0.0,1
3408141,2021-04-07 15:25:00,Setka Cup,Timur Voitekhov,Andrey Kovrikov,Andrey Kovrikov,2.1,Andrey Kovrikov,1-3,2.1,1
3408148,2021-04-07 18:55:00,Setka Cup,Oleksandr Ivashkin,Andrey Kovrikov,Andrey Kovrikov,1.833,Oleksandr Ivashkin,3-0,0.0,1
3408415,2021-04-07 04:50:00,TT Cup Ukraine,Maksim Ovcharenko,Denis Vakulenko,Denis Vakulenko,2.75,Denis Vakulenko,2-3,2.75,1
3408445,2021-04-07 06:00:00,TT Cup Ukraine,Dmytro Alekseenko,Denis Vakulenko,Denis Vakulenko,2.75,Denis Vakulenko,2-3,2.75,1
3408457,2021-04-07 10:10:00,TT Cup Ukraine,Ilya Yanishevskiy,Konstantin Makarchuk,Ilya Yanishevskiy,5.0,Konstantin Makarchuk,1-3,0.0,1
3408499,2021-04-07 08:45:00,TT Cup Ukraine,Vasyl Aksenin,Yevhenii Faflei,Yevhenii Faflei,4.0,Vasyl Aksenin,3-0,0.0,1
3408517,2021-04-07 06:10:00,TT Cup Ukraine,Volodymir Maksuta,Dmytro Drobov,Dmytro Drobov,3.4,Volodymir Maksuta,3-0,0.0,1
3408530,2021-04-07 09:40:00,TT Cup Ukraine,Anton Molochko,Dmytro Drobov,Anton Molochko,2.625,Anton Molochko,3-1,2.625,1
3408683,2021-04-07 10:20:00,TT Cup Ukraine,Valery Petukhov,Vadim Shvidkiy,Vadim Shvidkiy,3.75,Valery Petukhov,3-0,0.0,1
3408747,2021-04-07 19:35:00,Setka Cup,Artem Lisechko,Yevhenii Sokoltsov,Yevhenii Sokoltsov,2.0,Artem Lisechko,3-0,0.0,1
3408758,2021-04-07 20:45:00,Liga Pro,Igor Mihaylov,Valery Sidorin,Valery Sidorin,3.4,Igor Mihaylov,3-1,0.0,1
3409111,2021-04-07 12:30:00,Czech Liga Pro,Frantisek Just,Milan Urban,Milan Urban,4.333,Frantisek Just,3-1,0.0,1
3409970,2021-04-07 18:30:00,Liga Pro,Igor Zemit,Vjacheslav Chernov,Vjacheslav Chernov,3.75,Igor Zemit,3-0,0.0,1
3410034,2021-04-07 18:00:00,Liga Pro,Andrey Sadkov,Igor Zemit,Andrey Sadkov,4.0,Andrey Sadkov,3-2,4.0,1
3410227,2021-04-07 14:20:00,TT Cup Ukraine,Oleksandr Bondarchuk,Anatolii Levshyn,Oleksandr Bondarchuk,4.333,Anatolii Levshyn,1-3,0.0,1
3410378,2021-04-07 13:20:00,TT Cup Ukraine,Alexander Michalus,Iurii Prokhoruk,Alexander Michalus,4.5,Iurii Prokhoruk,1-3,0.0,1
3410467,2021-04-07 17:10:00,TT Cup Ukraine,Valeriy Melnik,Ivan Mai,Valeriy Melnik,3.25,Ivan Mai,1-3,0.0,1
3410541,2021-04-07 21:45:00,Liga Pro,Valery Sidorin,Vasily Shirshov,Vasily Shirshov,4.5,Valery Sidorin,3-1,0.0,1
3410545,2021-04-07 21:15:00,Liga Pro,Valery Ivanov,Evgeny Kalashnikov,Evgeny Kalashnikov,5.0,Evgeny Kalashnikov,1-3,5.0,1
3410547,2021-04-07 22:00:00,Liga Pro,Andrey Pravednov,Aleksey Uezdin,Aleksey Uezdin,3.75,Aleksey Uezdin,2-3,3.75,1
3410699,2021-04-08 19:30:00,Czech Liga Pro,Jan Mecl Jr.,Martin Bittner,Martin Bittner,3.0,Jan Mecl Jr.,3-2,0.0,1
3410747,2021-04-08 07:10:00,TT Star Series,Jakub Seibert,David Prusa,David Prusa,4.5,David Prusa,1-3,4.5,1
3410809,2021-04-08 09:45:00,Liga Pro,Alexey Slashchilin,Vadim Evlampiev,Alexey Slashchilin,3.75,Vadim Evlampiev,0-3,0.0,1
3410810,2021-04-08 10:15:00,Liga Pro,Aleksandr Libatskii,Oleg Suharkov,Aleksandr Libatskii,3.75,Aleksandr Libatskii,3-2,3.75,1
3410921,2021-04-08 15:50:00,Setka Cup,Volodymyr Kuzmych,Yurii Kolos,Yurii Kolos,3.0,Yurii Kolos,1-3,3.0,1
3410930,2021-04-08 16:50:00,Setka Cup,Volodymyr Okopnyi,Volodymyr Kuzmych,Volodymyr Okopnyi,2.75,Volodymyr Kuzmych,0-3,0.0,1
3411085,2021-04-08 17:05:00,Setka Cup,Andrii Shcherbak,Borys Kostiuk,Andrii Shcherbak,3.0,Andrii Shcherbak,3-2,3.0,1
3411155,2021-04-08 15:00:00,Setka Cup Women,Svitlana Yureneva,Alina Novosad,Svitlana Yureneva,3.75,Alina Novosad,0-3,0.0,1
3411368,2021-04-08 17:55:00,Setka Cup,Serhii Pitsyk,Serhii Sokolov,Serhii Pitsyk,5.5,Serhii Sokolov,0-3,0.0,1
3411415,2021-04-08 21:50:00,Setka Cup,Olexander Oleskevych,Serhii Nemtsov,Serhii Nemtsov,2.625,Olexander Oleskevych,3-1,0.0,1
3411417,2021-04-08 14:50:00,Setka Cup,Roman Zholubak,Denys Pesternikov,Roman Zholubak,2.75,Roman Zholubak,3-0,2.75,1
3411477,2021-04-08 07:10:00,Setka Cup Women,Olha Yureneva,Anastasiia Dudnyk,Anastasiia Dudnyk,2.2,Olha Yureneva,3-1,0.0,1
3411645,2021-04-08 05:55:00,Setka Cup,Yevhen Bielokon,Oleksandr Melashenko,Yevhen Bielokon,2.375,Yevhen Bielokon,3-1,2.375,1
3411652,2021-04-08 09:25:00,Setka Cup,Valerii Onykyienko,Taras Bonishchuk,Valerii Onykyienko,3.75,Taras Bonishchuk,2-3,0.0,1
3411655,2021-04-08 11:25:00,Setka Cup,Taras Bonishchuk,Oleksandr Melashenko,Oleksandr Melashenko,3.0,Taras Bonishchuk,3-1,0.0,1
3411656,2021-04-08 11:55:00,Setka Cup,Yevhen Bielokon,Andrii Hrytsai,Yevhen Bielokon,4.5,Andrii Hrytsai,2-3,0.0,1
3411684,2021-04-08 05:30:00,Setka Cup,Oleksandr Hordiichuk,Artem Yurkov,Oleksandr Hordiichuk,4.5,Artem Yurkov,0-3,0.0,1
3411741,2021-04-08 12:25:00,TT Cup Ukraine,Dmytro Alekseenko,Denis Vakulenko,Denis Vakulenko,2.1,Dmytro Alekseenko,3-0,0.0,1
3411750,2021-04-08 09:30:00,TT Cup Ukraine,Maksim Ovcharenko,Denis Vakulenko,Denis Vakulenko,3.0,Maksim Ovcharenko,3-1,0.0,1
3411813,2021-04-08 09:35:00,TT Cup Ukraine,Serhii Kiilo,Serhii Kubrak,Serhii Kiilo,6.5,Serhii Kubrak,2-3,0.0,1
3411847,2021-04-08 09:55:00,TT Cup Ukraine,Vasyl Aksenin,Yevhenii Faflei,Yevhenii Faflei,4.5,Vasyl Aksenin,3-0,0.0,1
3411898,2021-04-08 10:15:00,TT Cup Ukraine,Dmytro Drobov,Volodymir Maksuta,Dmytro Drobov,2.625,Volodymir Maksuta,0-3,0.0,1
3411916,2021-04-08 13:15:00,Liga Pro,Igor Abelmasov,Valery Sidorin,Igor Abelmasov,2.625,Igor Abelmasov,3-2,2.625,1
3411943,2021-04-08 09:50:00,TT Cup Ukraine,Iurii Prokhoruk,Alexander Michalus,Alexander Michalus,4.333,Iurii Prokhoruk,3-0,0.0,1
3411993,2021-04-08 23:45:00,Liga Pro,Evgeniy Ilyukhin,Vasily Shirshov,Vasily Shirshov,5.5,Evgeniy Ilyukhin,3-0,0.0,1
3412775,2021-04-08 13:10:00,TT Cup Ukraine,Vladyslav Batenko,Dmytro Halai,Dmytro Halai,3.0,Vladyslav Batenko,3-2,0.0,1
3413127,2021-04-08 15:15:00,TT Cup Ukraine,Evgeniy Pismenniy,Roman Cherevko,Evgeniy Pismenniy,6.5,Roman Cherevko,1-3,0.0,1
3413290,2021-04-08 19:25:00,TT Cup Ukraine,Ilya Yanishevskiy,Oleg Obidnyi,Oleg Obidnyi,4.333,Ilya Yanishevskiy,3-2,0.0,1
3413291,2021-04-08 19:30:00,TT Cup Ukraine,Stanislav Harenko,Oleksandr Shchytka,Oleksandr Shchytka,2.75,Stanislav Harenko,3-1,0.0,1
3413436,2021-04-08 22:35:00,Setka Cup,Serhii Kuprykov,Dmitriy Pereyaslovskyi,Dmitriy Pereyaslovskyi,2.75,Serhii Kuprykov,3-2,0.0,1
3413546,2021-04-09 02:55:00,Setka Cup,Andrey Kovrikov,Oleksandr Ivashkin,Andrey Kovrikov,2.2,Andrey Kovrikov,3-0,2.2,1
3413549,2021-04-09 04:25:00,Setka Cup,Roman Malynka,Andrey Kovrikov,Andrey Kovrikov,2.1,Roman Malynka,3-1,0.0,1
3413620,2021-04-09 10:00:00,Czech Liga Pro,Milan Klement,Jiri Vojtech,Jiri Vojtech,3.25,Milan Klement,3-2,0.0,1
